31/10/15,West Brom,Leicester,West Brom,3:3
01/11/15,Everton,Sunderland,Everton,8:3
01/11/15,Southampton,Bournemouth,Southampton,4:0
02/11/15,Tottenham,Aston Villa,Tottenham,5:1
07/11/15,Bournemouth,Newcastle,Bournemouth,0:2
07/11/15,Leicester,Watford,Leicester,2:1
07/11/15,Man United,West Brom,Man United,2:0
07/11/15,Norwich,Swansea,Norwich,1:0
07/11/15,Stoke,Chelsea,Stoke,1:0
07/11/15,Sunderland,Southampton,Sunderland,0:1
07/11/15,West Ham,Everton,West Ham,2:2
08/11/15,Arsenal,Tottenham,Arsenal,1:2
08/11/15,Aston Villa,Man City,Aston Villa,0:0
08/11/15,Liverpool,Crystal Palace,Liverpool,2:3
21/11/15,Chelsea,Norwich,Chelsea,1:0
21/11/15,Everton,Aston Villa,Everton,7:0
21/11/15,Man City,Liverpool,Man City,2:7
21/11/15,Newcastle,Leicester,Newcastle,0:4
21/11/15,Southampton,Stoke,Southampton,0:2
21/11/15,Swansea,Bournemouth,Swansea,4:4
21/11/15,Watford,Man United,Watford,1:3
21/11/15,West Brom,Arsenal,West Brom,4:2
22/11/15,Tottenham,West Ham,Tottenham,6:1
23/11/15,Crystal Palace,Sunderland,Crystal Palace,0:1
28/11/15,Aston Villa,Watford,Aston Villa,3:4
28/11/15,Bournemouth,Everton,Bournemouth,3:5
28/11/15,Crystal Palace,Newcastle,Crystal Palace,8:2
28/11/15,Leicester,Man United,Leicester,2:2
28/11/15,Man City,Southampton,Man City,5:1
28/11/15,Sunderland,Stoke,Sunderland,2:0
29/11/15,Liverpool,Swansea,Liverpool,1:0
29/11/15,Norwich,Arsenal,Norwich,2:2
29/11/15,Tottenham,Chelsea,Tottenham,0:0
29/11/15,West Ham,West Brom,West Ham,2:1
05/12/15,Arsenal,Sunderland,Arsenal,4:2
05/12/15,Chelsea,Bournemouth,Chelsea,0:1
05/12/15,Man United,West Ham,Man United,0:0
05/12/15,Southampton,Aston Villa,Southampton,1:2
05/12/15,Stoke,Man City,Stoke,4:0
05/12/15,Swansea,Leicester,Swansea,0:5
05/12/15,Watford,Norwich,Watford,3:0
05/12/15,West Brom,Tottenham,West Brom,2:2
06/12/15,Newcastle,Liverpool,Newcastle,2:0
07/12/15,Everton,Crystal Palace,Everton,1:1
12/12/15,Bournemouth,Man United,Bournemouth,3:2
12/12/15,Crystal Palace,Southampton,Crystal Palace,2:0
12/12/15,Man City,Swansea,Man City,3:1
12/12/15,Norwich,Everton,Norwich,1:2
12/12/15,Sunderland,Watford,Sunderland,0:2
12/12/15,West Ham,Stoke,West Ham,0:0
13/12/15,Aston Villa,Arsenal,Aston Villa,0:4
13/12/15,Liverpool,West Brom,Liverpool,3:3
13/12/15,Tottenham,Newcastle,Tottenham,2:2
14/12/15,Leicester,Chelsea,Leicester,3:1
19/12/15,Chelsea,Sunderland,Chelsea,5:1
19/12/15,Everton,Leicester,Everton,3:4
19/12/15,Man United,Norwich,Man United,1:3
19/12/15,Newcastle,Aston Villa,Newcastle,2:1
19/12/15,Southampton,Tottenham,Southampton,0:4
19/12/15,Stoke,Crystal Palace,Stoke,1:3
19/12/15,West Brom,Bournemouth,West Brom,1:2
20/12/15,Swansea,West Ham,Swansea,0:0
20/12/15,Watford,Liverpool,Watford,5:0
21/12/15,Arsenal,Man City,Arsenal,4:1
26/12/15,Aston Villa,West Ham,Aston Villa,1:2
26/12/15,Bournemouth,Crystal Palace,Bournemouth,0:0
26/12/15,Chelsea,Watford,Chelsea,3:3
26/12/15,Liverpool,Leicester,Liverpool,1:0
26/12/15,Man City,Sunderland,Man City,7:1
26/12/15,Newcastle,Everton,Newcastle,0:1
26/12/15,Southampton,Arsenal,Southampton,5:0
26/12/15,Stoke,Man United,Stoke,4:0
26/12/15,Swansea,West Brom,Swansea,2:0
26/12/15,Tottenham,Norwich,Tottenham,5:0
28/12/15,Arsenal,Bournemouth,Arsenal,3:0
28/12/15,Crystal Palace,Swansea,Crystal Palace,0:0
28/12/15,Everton,Stoke,Everton,4:6
28/12/15,Man United,Chelsea,Man United,0:0
28/12/15,Norwich,Aston Villa,Norwich,3:0
28/12/15,Watford,Tottenham,Watford,2:3
28/12/15,West Brom,Newcastle,West Brom,1:0
28/12/15,West Ham,Southampton,West Ham,2:2
29/12/15,Leicester,Man City,Leicester,0:0
30/12/15,Sunderland,Liverpool,Sunderland,0:1
02/01/16,Arsenal,Newcastle,Arsenal,1:0
02/01/16,Leicester,Bournemouth,Leicester,0:0
02/01/16,Man United,Swansea,Man United,2:1
02/01/16,Norwich,Southampton,Norwich,1:0
02/01/16,Sunderland,Aston Villa,Sunderland,4:1
02/01/16,Watford,Man City,Watford,1:2
